site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,73,24,46,no,NA,1,1,3,151,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,74,23,44,no,NA,1,1,3,171,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,75,32,13,no,NA,1,1,8,200,10,2,235,9,seeds dispersed,no,,,"herbivory, part of leaf gone, red deer?",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,7,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,76,32,9.5,yes,NA,3,1,7,220,13,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,76,32,9.5,yes,NA,3,2,5,149,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,76,32,9.5,yes,NA,3,3,4,99,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,77,32.5,5.5,no,NA,1,1,5,132,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,78,39.5,10.5,no,NA,1,1,5,146,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,79,43,9.5,no,NA,1,1,5,175,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,80,38.5,15.5,no,NA,1,1,3,137,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,81,49.5,22,no,NA,1,1,8,149,8,3,312,13,mature seeds,no,,,one leaf grazed (most likely red deer),,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,10,mature seeds,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,8,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,82,49,19,no,NA,1,1,4,135,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,83,47,17,no,NA,1,1,3,185,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,84,47,32.5,no,NA,1,1,4,121,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,85,36.5,36.5,no,NA,1,1,3,110,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,86,41.5,42.5,no,NA,1,1,4,186,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,87,48,44,no,NA,1,1,5,160,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,88,41.5,47,no,NA,1,1,2,120,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,89,31.5,47,no,NA,1,1,3,150,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,90,31,45.5,no,NA,1,1,4,218,9,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,91,29,40.5,yes,NA,3,1,6,172,8,2,210,8,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,91,29,40.5,yes,NA,3,2,4,174,6,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,91,29,40.5,yes,NA,3,3,6,198,9,1,223,8,seeds dispersed,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,92,50,41.5,no,NA,1,1,8,160,9,2,315,10,seeds dispersed,no,,,herbivory (grazed by red deer?),,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,10,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,93,16.5,4,no,NA,1,1,3,112,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,94,22,8.5,no,NA,1,1,3,180,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,95,15.5,20,yes,NA,2,1,4,132,6,2,180,7,seeds dispersed,no,,,"herbivory,side of leaf",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,8,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,95,15.5,20,yes,NA,2,2,8,152,7,2,240,9,mature seeds,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
